name,bransje,kommune,fylke,source_category,companyid,source_url,reporting_year,co2_total_t,co2_fossil_t,co2_biogenic_t,biogenic_share_pct,biogenic_method,n2o_t,co2_eq_t,ets_allocated,ets_verified,ets_year,ets_flag,electricity_mwh,lat,lon,cluster,port_access,suitability_score,narrative,data_source
Norsk Spesialolje As avd. Bamble,Energigjenvinning,Bamble,Telemark,waste_to_energy,,,2023,,,,50,estimated,,,,,,,,59.05,9.71,Grenland,True,5.5,"Norsk Spesialolje As avd. Bamble is a waste-to-energy facility emitting ~scale unknown CO₂ (50% biogenic (estimated)). Located in Bamble in the Grenland cluster, with port access available. Mixed-waste incinerator; biogenic fraction is significant and should be verified via monitoring plan.",no_data
SAREN Energy Sarpsborg,Vannbåren og luftbåren varme- og kjøleforsyning,Sarpsborg,Østfold,district_heating,,,2023,95000,48000,47000,49.5,reported,,95000,,,,,,59.284,11.109,None,True,5.5,"SAREN Energy Sarpsborg operates district heating in Sarpsborg, emitting ~95 kt/y CO₂ (49% biogenic (reported)). Norwegian DH plants increasingly use biomass, elevating biogenic share. Port access available.",public_estimate
Finnfjord,"Produksjon av jern og stål, samt ferrolegeringer",Senja,Troms,ferroalloy,,,2023,350000,290000,60000,17.1,reported,,350000,340000,330000,2023,,,65.0,14.0,None,True,5.4,"Finnfjord is a ferroalloy/steel plant in Senja, emitting ~350 kt/y CO₂ (17% biogenic (reported)). CO/CO₂ offgas streams are significant and could serve as e-fuel carbon feedstock (FT synthesis). Port access available.",public_estimate
Gyproc A.S,Produksjon av gipsprodukter for bygge- og anleggsvirksomhet,Fredrikstad,Østfold,cement,,,2023,35000,35000,,0.0,reported,,35000,,,,,,59.218,10.93,Øra,True,5.4,"Gyproc A.S is a cement/lime plant in Fredrikstad in the Øra cluster, emitting ~35 kt/y CO₂ (fossil CO₂). Calcination CO₂ is inherently fossil; alternative fuel co-firing drives any biogenic fraction. Port access available.",public_estimate
Hammerfest LNG,Utvinning av naturgass,Hammerfest,Finnmark,gas_processing,,,2023,750000,750000,,0.0,reported,,750000,780000,710000,2023,,,70.663,23.682,None,True,5.4,"Equinor's Hammerfest LNG (Snøhvit) emits ~750 kt/y fossil CO₂. Located at 70°N with a dedicated LNG export terminal. The plant has an existing CO₂ injection well (though geologically challenging). Strong logistics, remote location reduces competing land uses — viable for e-fuel production with renewable power from planned Finnmark wind.",public_estimate
Haraldrud Varmesentral (Hafslund Celsio AS),Vannbåren og luftbåren varme- og kjøleforsyning,Oslo,Oslo,district_heating,,,2023,70000,35000,35000,50.0,reported,,70000,,,,,,59.913,10.752,None,True,5.4,"Haraldrud Varmesentral (Hafslund Celsio AS) operates district heating in Oslo, emitting ~70 kt/y CO₂ (50% biogenic (reported)). Norwegian DH plants increasingly use biomass, elevating biogenic share. Port access available.",public_estimate
Lunera Energi - avfallsforbrenningsanlegg Heimdal,Vannbåren og luftbåren varme- og kjøleforsyning,Trondheim,Trøndelag,district_heating,,,2023,80000,40000,40000,50.0,reported,,80000,,,,,,63.43,10.395,None,True,5.4,"Lunera Energi - avfallsforbrenningsanlegg Heimdal operates district heating in Trondheim, emitting ~80 kt/y CO₂ (50% biogenic (reported)). Norwegian DH plants increasingly use biomass, elevating biogenic share. Port access available.",public_estimate
Rygene-Smith & Thommesen,Produksjon av papirmasse,Arendal,Agder,pulp_paper,,,2023,,,,80,estimated,,,,,,,,58.461,8.772,Eydehavn,True,5.4,"Rygene-Smith & Thommesen is a pulp/paper facility in Arendal in the Eydehavn cluster, emitting ~scale unknown CO₂ (80% biogenic (estimated)). High biogenic CO₂ share from biomass combustion; recovery boiler flue gas is concentrated and amenable to capture. Port access available.",no_data
Tafjord Kraftvarme AS-avfallsforbrenning,Vannbåren og luftbåren varme- og kjøleforsyning,Ålesund,Møre og Romsdal,district_heating,,,2023,85000,43000,42000,49.4,reported,,85000,,,,,25000,62.473,6.155,None,True,5.4,"Tafjord Kraftvarme AS-avfallsforbrenning operates district heating in Ålesund, emitting ~85 kt/y CO₂ (49% biogenic (reported)). Norwegian DH plants increasingly use biomass, elevating biogenic share. Port access available.",public_estimate
Tafjord kraftvarme avd produksjon,Vannbåren og luftbåren varme- og kjøleforsyning,Ålesund,Møre og Romsdal,district_heating,,,2023,85000,43000,42000,49.4,reported,,85000,,,,,25000,62.473,6.155,None,True,5.4,"Tafjord kraftvarme avd produksjon operates district heating in Ålesund, emitting ~85 kt/y CO₂ (49% biogenic (reported)). Norwegian DH plants increasingly use biomass, elevating biogenic share. Port access available.",public_estimate
Elkem Bremanger,Produksjon av andre uorganiske kjemiske råvarer,Bremanger,Vestland,inorganic_chem,,,2023,250000,200000,50000,20.0,reported,,250000,240000,235000,2023,,,61.826,5.215,None,True,5.3,"Elkem Bremanger is an inorganic chemicals facility in Bremanger, emitting ~250 kt/y CO₂ (20% biogenic (reported)). Chemical process CO₂ varies by product; existing industrial infrastructure and logistics assessed as port access available.",public_estimate
ELKEM Fiskaa Silicon,Produksjon av andre uorganiske kjemiske råvarer,Kristiansand,Agder,inorganic_chem,,,2023,280000,230000,50000,17.9,reported,,280000,270000,260000,2023,,,58.147,7.995,None,True,5.3,"ELKEM Fiskaa Silicon is an inorganic chemicals facility in Kristiansand, emitting ~280 kt/y CO₂ (18% biogenic (reported)). Chemical process CO₂ varies by product; existing industrial infrastructure and logistics assessed as port access available.",public_estimate
Kvitebjørn Varme avfallsforbrenningsanlegg Skattøra,Vannbåren og luftbåren varme- og kjøleforsyning,Tromsø,Troms,district_heating,,,2023,65000,32000,33000,50.8,reported,,65000,,,,,,69.649,18.956,None,True,5.3,"Kvitebjørn Varme avfallsforbrenningsanlegg Skattøra operates district heating in Tromsø, emitting ~65 kt/y CO₂ (51% biogenic (reported)). Norwegian DH plants increasingly use biomass, elevating biogenic share. Port access available.",public_estimate
"NORSKE SHELL AS, Sola",Utvinning av naturgass,Sola,Rogaland,gas_processing,,,2023,550000,550000,,0.0,reported,,550000,,,,,,58.884,5.637,None,True,5.3,"NORSKE SHELL AS, Sola is a gas processing terminal in Sola, emitting ~550 kt/y CO₂. CO₂ is fossil; existing pipeline and marine infrastructure plus large power supply create high logistics value. Port access available.",public_estimate
Nyhamna prosessanlegg,Utvinning av naturgass,Aukra,Møre og Romsdal,gas_processing,,,2023,600000,600000,,0.0,reported,,600000,580000,560000,2023,,,65.0,14.0,None,True,5.3,"Nyhamna prosessanlegg is a gas processing terminal in Aukra, emitting ~600 kt/y CO₂. CO₂ is fossil; existing pipeline and marine infrastructure plus large power supply create high logistics value. Port access available.",public_estimate
Alcoa Norway AS Mosjøen,Produksjon av aluminium,Vefsn,Nordland,aluminium,,,2023,430000,430000,,0.0,reported,,430000,420000,410000,2023,,2500000,65.846,13.197,None,True,5.2,"Alcoa Norway AS Mosjøen is an aluminium smelter in Vefsn, emitting ~430 kt/y CO₂ (fossil CO₂). Process CO₂ is fossil (anode oxidation); enormous power draw creates shared grid infrastructure opportunity. Port access available.",public_estimate
Elkem Bjølvefossen,"Produksjon av jern og stål, samt ferrolegeringer",Kvam,Vestland,ferroalloy,,,2023,180000,150000,30000,16.7,reported,,180000,170000,165000,2023,,,60.374,6.012,None,True,5.1,"Elkem Bjølvefossen is a ferroalloy/steel plant in Kvam, emitting ~180 kt/y CO₂ (17% biogenic (reported)). CO/CO₂ offgas streams are significant and could serve as e-fuel carbon feedstock (FT synthesis). Port access available.",public_estimate
SAREN Energy Bio-El AS,Vannbåren og luftbåren varme- og kjøleforsyning,Fredrikstad,Østfold,district_heating,,,2023,,,,60,estimated,,,,,,,,59.218,10.93,Øra,True,5.1,"SAREN Energy Bio-El AS operates district heating in Fredrikstad in the Øra cluster, emitting ~scale unknown CO₂ (60% biogenic (estimated)). Norwegian DH plants increasingly use biomass, elevating biogenic share. Port access available.",no_data
Brønnøy Kalk A.S,"Bryting av dekorstein, kalkstein, gips, skifer og annen stein",Brønnøy,Nordland,cement,,,2023,180000,180000,,0.0,reported,,180000,170000,168000,2023,,,65.0,14.0,None,True,4.8,"Brønnøy Kalk A.S is a cement/lime plant in Brønnøy, emitting ~180 kt/y CO₂ (fossil CO₂). Calcination CO₂ is inherently fossil; alternative fuel co-firing drives any biogenic fraction. Port access available.",public_estimate
Norske Skog Skogn,Produksjon av papir og papp,Levanger,Trøndelag,pulp_paper,,,2023,380000,70000,310000,81.6,reported,,380000,90000,82000,2023,"ETS verified (82,000 t) differs from reported CO₂ (380,000 t) by 78.4%",550000,63.745,11.297,None,False,4.8,"Norske Skog Skogn is a pulp/paper facility in Levanger, emitting ~380 kt/y CO₂ (82% biogenic (reported)). High biogenic CO₂ share from biomass combustion; recovery boiler flue gas is concentrated and amenable to capture. Inland — logistics to be verified.",public_estimate
Pasco AS,Produksjon av raffinerte petroleumsprodukter og fossile brenselsprodukter,Kristiansand,Agder,refining,,,2023,180000,180000,,0.0,reported,,180000,,,,,,58.147,7.995,None,True,4.8,"Pasco AS is a petroleum refinery in Kristiansand, emitting ~180 kt/y CO₂. Fossil CO₂; however refinery sites typically have large power infrastructure and marine terminals. Port access available.",public_estimate
DuPont Nutrition Norge AS (tidligere FMC),Produksjon av andre organiske kjemiske råvarer,Karmøy,Rogaland,organic_chem,,,2023,,,,5,estimated,,,,,,,,59.267,5.253,Karmøy,True,4.7,"DuPont Nutrition Norge AS (tidligere FMC) is an organic chemicals/plastics facility in Karmøy in the Karmøy cluster, emitting ~scale unknown CO₂ (5% biogenic (estimated)). Port access available.",no_data
Jotun Manger,Produksjon av basisplast,Alver,Vestland,organic_chem,,,2023,,,,5,estimated,,,,,,,,60.64,5.219,Mongstad,True,4.7,"Jotun Manger is an organic chemicals/plastics facility in Alver in the Mongstad cluster, emitting ~scale unknown CO₂ (5% biogenic (estimated)). Port access available.",no_data
Ruukki Profiler,Produksjon av jern og stål,Rana,Nordland,ferroalloy,,,2023,,,,5,estimated,,,,,,,,66.312,14.152,Mo Industripark,True,4.7,"Ruukki Profiler is a ferroalloy/steel plant in Rana in the Mo Industripark cluster, emitting ~scale unknown CO₂ (5% biogenic (estimated)). CO/CO₂ offgas streams are significant and could serve as e-fuel carbon feedstock (FT synthesis). Port access available.",no_data
Ruukki Profiler,Produksjon av jern og stål,Rana,Nordland,ferroalloy,,,2023,,,,5,estimated,,,,,,,,66.312,14.152,Mo Industripark,True,4.7,"Ruukki Profiler is a ferroalloy/steel plant in Rana in the Mo Industripark cluster, emitting ~scale unknown CO₂ (5% biogenic (estimated)). CO/CO₂ offgas streams are significant and could serve as e-fuel carbon feedstock (FT synthesis). Port access available.",no_data
Verdalskalk,Produksjon av kalk og gips,Inderøy,Trøndelag,cement,,,2023,140000,140000,,0.0,reported,,140000,135000,132000,2023,,,65.0,14.0,None,True,4.7,"Verdalskalk is a cement/lime plant in Inderøy, emitting ~140 kt/y CO₂ (fossil CO₂). Calcination CO₂ is inherently fossil; alternative fuel co-firing drives any biogenic fraction. Port access available.",public_estimate
Verdalskalk Tromsdalen kalksteinsbrudd,"Bryting av dekorstein, kalkstein, gips, skifer og annen stein",Verdal,Trøndelag,cement,,,2023,140000,140000,,0.0,reported,,140000,135000,132000,2023,,,65.0,14.0,None,True,4.7,"Verdalskalk Tromsdalen kalksteinsbrudd is a cement/lime plant in Verdal, emitting ~140 kt/y CO₂ (fossil CO₂). Calcination CO₂ is inherently fossil; alternative fuel co-firing drives any biogenic fraction. Port access available.",public_estimate
"Baker Hughes Drilling Fluids, Mongstad base",Boretjenester tilknyttet utvinning av råolje og naturgass,Alver,Vestland,gas_processing,,,2023,,,,0,estimated,,,,,,,,60.64,5.219,Mongstad,True,4.6,"Baker Hughes Drilling Fluids, Mongstad base is a gas processing terminal in Alver in the Mongstad cluster, emitting ~scale unknown CO₂. CO₂ is fossil; existing pipeline and marine infrastructure plus large power supply create high logistics value. Port access available.",no_data
Dalseide & Fløysand A.S,Andre tjenester tilknyttet utvinning av råolje og naturgass,Øygarden,Vestland,gas_processing,,,2023,,,,0,estimated,,,,,,,,60.546,4.993,Kollsnes,True,4.6,"Dalseide & Fløysand A.S is a gas processing terminal in Øygarden in the Kollsnes cluster, emitting ~scale unknown CO₂. CO₂ is fossil; existing pipeline and marine infrastructure plus large power supply create high logistics value. Port access available.",no_data
EKA CHEMICALS RANA AS,Produksjon av andre uorganiske kjemiske råvarer,Rana,Nordland,inorganic_chem,,,2023,,,,0,estimated,,,,,,,,66.312,14.152,Mo Industripark,True,4.6,"EKA CHEMICALS RANA AS is an inorganic chemicals facility in Rana in the Mo Industripark cluster, emitting ~scale unknown CO₂ (fossil CO₂). Chemical process CO₂ varies by product; existing industrial infrastructure and logistics assessed as port access available.",no_data
Elkem Testvirksomhet AS,Produksjon av andre uorganiske kjemiske råvarer,Porsgrunn,Telemark,inorganic_chem,,,2023,,,,0,estimated,,,,,,,,59.142,9.657,Herøya,True,4.6,"Elkem Testvirksomhet AS is an inorganic chemicals facility in Porsgrunn in the Herøya cluster, emitting ~scale unknown CO₂ (fossil CO₂). Chemical process CO₂ varies by product; existing industrial infrastructure and logistics assessed as port access available.",no_data
Herøya Industripark - Omsmelteanlegget,Produksjon av aluminium,Porsgrunn,Telemark,aluminium,,,2023,,,,0,estimated,,,,,,,,59.142,9.657,Herøya,True,4.6,"Herøya Industripark - Omsmelteanlegget is an aluminium smelter in Porsgrunn in the Herøya cluster, emitting ~scale unknown CO₂ (fossil CO₂). Process CO₂ is fossil (anode oxidation); enormous power draw creates shared grid infrastructure opportunity. Port access available.",no_data
Isola AS - Eidanger,Produksjon av andre ikke-metalliske mineralprodukter ikke nevnt annet sted,Porsgrunn,Telemark,other,,,2023,,,,0,estimated,,,,,,,,59.142,9.657,Herøya,True,4.6,"Isola AS - Eidanger is an industrial facility in Porsgrunn in the Herøya cluster, emitting ~scale unknown CO₂ (fossil CO₂). Port access available.",no_data
Magnor Minerals,Produksjon av andre uorganiske kjemiske råvarer,Porsgrunn,Telemark,inorganic_chem,,,2023,,,,0,estimated,,,,,,,,59.142,9.657,Herøya,True,4.6,"Magnor Minerals is an inorganic chemicals facility in Porsgrunn in the Herøya cluster, emitting ~scale unknown CO₂ (fossil CO₂). Chemical process CO₂ varies by product; existing industrial infrastructure and logistics assessed as port access available.",no_data
Mineral - Omya Hustadmarmor AS avd Knarrevik,Produksjon av andre ikke-metalliske mineralprodukter ikke nevnt annet sted,Øygarden,Vestland,other,,,2023,,,,0,estimated,,,,,,,,60.546,4.993,Kollsnes,True,4.6,"Mineral - Omya Hustadmarmor AS avd Knarrevik is an industrial facility in Øygarden in the Kollsnes cluster, emitting ~scale unknown CO₂ (fossil CO₂). Port access available.",no_data
Naturkraft Kårstø,Produksjon av elektrisitet fra naturgass,Tysvær,Rogaland,gas_processing,,,2023,,,,0,estimated,,,,,,,,59.424,5.579,Kårstø,True,4.6,"Naturkraft Kårstø is a gas processing terminal in Tysvær in the Kårstø cluster, emitting ~scale unknown CO₂. CO₂ is fossil; existing pipeline and marine infrastructure plus large power supply create high logistics value. Port access available.",no_data
NorFraKalk,Produksjon av kalk og gips,Verdal,Trøndelag,cement,,,2023,90000,90000,,0.0,reported,,90000,,,,,,65.0,14.0,None,True,4.6,"NorFraKalk is a cement/lime plant in Verdal, emitting ~90 kt/y CO₂ (fossil CO₂). Calcination CO₂ is inherently fossil; alternative fuel co-firing drives any biogenic fraction. Port access available.",public_estimate
Odfjell Well Services AS avd. Mongstad,Boretjenester tilknyttet utvinning av råolje og naturgass,Alver,Vestland,gas_processing,,,2023,,,,0,estimated,,,,,,,,60.64,5.219,Mongstad,True,4.6,"Odfjell Well Services AS avd. Mongstad is a gas processing terminal in Alver in the Mongstad cluster, emitting ~scale unknown CO₂. CO₂ is fossil; existing pipeline and marine infrastructure plus large power supply create high logistics value. Port access available.",no_data
Schlumberger Norge avd Karmøy (tidl. Norbar Minerals),Bryting og utvinning av kjemiske mineraler og gjødselmineraler,Karmøy,Rogaland,ammonia,,,2023,,,,0,estimated,,,,,,,,59.267,5.253,Karmøy,True,4.6,"Schlumberger Norge avd Karmøy (tidl. Norbar Minerals) is an ammonia/fertiliser plant in Karmøy in the Karmøy cluster, emitting ~scale unknown CO₂ (fossil CO₂). CO₂ from SMR is fossil; however scale and green H₂ substitution potential are relevant to NELF's supply chain. Port access available.",no_data
SMA Mineral,Produksjon av kalk og gips,Rana,Nordland,cement,,,2023,,,,0,estimated,,,,,,,,66.312,14.152,Mo Industripark,True,4.6,"SMA Mineral is a cement/lime plant in Rana in the Mo Industripark cluster, emitting ~scale unknown CO₂ (fossil CO₂). Calcination CO₂ is inherently fossil; alternative fuel co-firing drives any biogenic fraction. Port access available.",no_data
Speira Karmøy Rolling Mill,Produksjon av aluminium,Karmøy,Rogaland,aluminium,,,2023,,,,0,estimated,,,,,,,,59.267,5.253,Karmøy,True,4.6,"Speira Karmøy Rolling Mill is an aluminium smelter in Karmøy in the Karmøy cluster, emitting ~scale unknown CO₂ (fossil CO₂). Process CO₂ is fossil (anode oxidation); enormous power draw creates shared grid infrastructure opportunity. Port access available.",no_data
"TWMA Norge, Mongstad Base",Andre tjenester tilknyttet utvinning av råolje og naturgass,Alver,Vestland,gas_processing,,,2023,,,,0,estimated,,,,,,,,60.64,5.219,Mongstad,True,4.6,"TWMA Norge, Mongstad Base is a gas processing terminal in Alver in the Mongstad cluster, emitting ~scale unknown CO₂. CO₂ is fossil; existing pipeline and marine infrastructure plus large power supply create high logistics value. Port access available.",no_data
Vask av offshoreutstyr - PSW Group AS avd. Mongstad,Andre tjenester tilknyttet utvinning av råolje og naturgass,Alver,Vestland,gas_processing,,,2023,,,,0,estimated,,,,,,,,60.64,5.219,Mongstad,True,4.6,"Vask av offshoreutstyr - PSW Group AS avd. Mongstad is a gas processing terminal in Alver in the Mongstad cluster, emitting ~scale unknown CO₂. CO₂ is fossil; existing pipeline and marine infrastructure plus large power supply create high logistics value. Port access available.",no_data
EverZinc Norway,"Produksjon av bly, sink og tinn",Larvik,Vestfold,base_metals,,,2023,75000,75000,,0.0,reported,,75000,,,,,,59.052,10.028,None,True,4.5,"EverZinc Norway is a base metals (Zn/Pb) smelter in Larvik, emitting ~75 kt/y CO₂ (fossil CO₂). Port access available.",public_estimate
"ROCKWOOL AS, Larvik",Produksjon av andre ikke-metalliske mineralprodukter ikke nevnt annet sted,Larvik,Vestfold,other,,,2023,65000,65000,,0.0,reported,,65000,,,,,,59.052,10.028,None,True,4.4,"ROCKWOOL AS, Larvik is an industrial facility in Larvik, emitting ~65 kt/y CO₂ (fossil CO₂). Port access available.",public_estimate
"Glomma Papp, Sarpsborg","Produksjon av bølgepapp, papp og emballasje av papir og papp",Sarpsborg,Østfold,pulp_paper,,,2023,,,,80,estimated,,,,,,,,59.284,11.109,None,True,4.2,"Glomma Papp, Sarpsborg is a pulp/paper facility in Sarpsborg, emitting ~scale unknown CO₂ (80% biogenic (estimated)). High biogenic CO₂ share from biomass combustion; recovery boiler flue gas is concentrated and amenable to capture. Port access available.",no_data
Hellefoss Paper,Produksjon av papir og papp,Øvre Eiker,Buskerud,pulp_paper,,,2023,,,,80,estimated,,,,,,,,59.771,9.927,None,True,4.2,"Hellefoss Paper is a pulp/paper facility in Øvre Eiker, emitting ~scale unknown CO₂ (80% biogenic (estimated)). High biogenic CO₂ share from biomass combustion; recovery boiler flue gas is concentrated and amenable to capture. Port access available.",no_data
HUNSFOS FABRIKKER AS,Produksjon av papir og papp,Vennesla,Agder,pulp_paper,,,2023,,,,80,estimated,,,,,,,,58.277,7.955,None,True,4.2,"HUNSFOS FABRIKKER AS is a pulp/paper facility in Vennesla, emitting ~scale unknown CO₂ (80% biogenic (estimated)). High biogenic CO₂ share from biomass combustion; recovery boiler flue gas is concentrated and amenable to capture. Port access available.",no_data
Hurum Paper Mill AS,Produksjon av papir og papp,Asker,Akershus,pulp_paper,,,2023,,,,80,estimated,,,,,,,,65.0,14.0,None,True,4.2,"Hurum Paper Mill AS is a pulp/paper facility in Asker, emitting ~scale unknown CO₂ (80% biogenic (estimated)). High biogenic CO₂ share from biomass combustion; recovery boiler flue gas is concentrated and amenable to capture. Port access available.",no_data
Larvik Cell AS,Produksjon av papirmasse,Larvik,Vestfold,pulp_paper,,,2023,,,,80,estimated,,,,,,,,59.052,10.028,None,True,4.2,"Larvik Cell AS is a pulp/paper facility in Larvik, emitting ~scale unknown CO₂ (80% biogenic (estimated)). High biogenic CO₂ share from biomass combustion; recovery boiler flue gas is concentrated and amenable to capture. Port access available.",no_data
"PETERSON LINERBOARD AS, Moss",Produksjon av papir og papp,Moss,Østfold,pulp_paper,,,2023,,,,80,estimated,,,,,,,,59.434,10.659,None,True,4.2,"PETERSON LINERBOARD AS, Moss is a pulp/paper facility in Moss, emitting ~scale unknown CO₂ (80% biogenic (estimated)). High biogenic CO₂ share from biomass combustion; recovery boiler flue gas is concentrated and amenable to capture. Port access available.",no_data
Rena Kartonfabrik ASA,Produksjon av papir og papp,Åmot,Innlandet,pulp_paper,,,2023,,,,80,estimated,,,,,,,,65.0,14.0,None,True,4.2,"Rena Kartonfabrik ASA is a pulp/paper facility in Åmot, emitting ~scale unknown CO₂ (80% biogenic (estimated)). High biogenic CO₂ share from biomass combustion; recovery boiler flue gas is concentrated and amenable to capture. Port access available.",no_data
Rockwool Moss,Produksjon av andre ikke-metalliske mineralprodukter ikke nevnt annet sted,Moss,Østfold,other,,,2023,40000,40000,,0.0,reported,,40000,,,,,,59.434,10.659,None,True,4.2,"Rockwool Moss is an industrial facility in Moss, emitting ~40 kt/y CO₂ (fossil CO₂). Port access available.",public_estimate
Sande Paper Mill A.S (konkurs),Produksjon av papir og papp,Holmestrand,Vestfold,pulp_paper,,,2023,,,,80,estimated,,,,,,,,65.0,14.0,None,True,4.2,"Sande Paper Mill A.S (konkurs) is a pulp/paper facility in Holmestrand, emitting ~scale unknown CO₂ (80% biogenic (estimated)). High biogenic CO₂ share from biomass combustion; recovery boiler flue gas is concentrated and amenable to capture. Port access available.",no_data
Vafos Pulp,Produksjon av papirmasse,Kragerø,Telemark,pulp_paper,,,2023,,,,80,estimated,,,,,,,,65.0,14.0,None,True,4.2,"Vafos Pulp is a pulp/paper facility in Kragerø, emitting ~scale unknown CO₂ (80% biogenic (estimated)). High biogenic CO₂ share from biomass combustion; recovery boiler flue gas is concentrated and amenable to capture. Port access available.",no_data
Vajda-Papir Scandinavia,Produksjon av papir og papp,Drammen,Buskerud,pulp_paper,,,2023,,,,80,estimated,,,,,,,,59.744,10.204,None,True,4.2,"Vajda-Papir Scandinavia is a pulp/paper facility in Drammen, emitting ~scale unknown CO₂ (80% biogenic (estimated)). High biogenic CO₂ share from biomass combustion; recovery boiler flue gas is concentrated and amenable to capture. Port access available.",no_data
VPK Packaging avd Berg,"Produksjon av bølgepapp, papp og emballasje av papir og papp",Halden,Østfold,pulp_paper,,,2023,,,,80,estimated,,,,,,,,59.131,11.387,None,True,4.2,"VPK Packaging avd Berg is a pulp/paper facility in Halden, emitting ~scale unknown CO₂ (80% biogenic (estimated)). High biogenic CO₂ share from biomass combustion; recovery boiler flue gas is concentrated and amenable to capture. Port access available.",no_data
VPK Peterson - tidl. Peterson Emballasje - Sarpsborg,"Produksjon av bølgepapp, papp og emballasje av papir og papp",Sarpsborg,Østfold,pulp_paper,,,2023,,,,80,estimated,,,,,,,,59.284,11.109,None,True,4.2,"VPK Peterson - tidl. Peterson Emballasje - Sarpsborg is a pulp/paper facility in Sarpsborg, emitting ~scale unknown CO₂ (80% biogenic (estimated)). High biogenic CO₂ share from biomass combustion; recovery boiler flue gas is concentrated and amenable to capture. Port access available.",no_data
Hannells AS,Produksjon av stålfat og lignende beholdere av jern og stål,Fredrikstad,Østfold,ferroalloy,,,2023,,,,5,estimated,,,,,,,,59.218,10.93,Øra,True,4.1,"Hannells AS is a ferroalloy/steel plant in Fredrikstad in the Øra cluster, emitting ~scale unknown CO₂ (5% biogenic (estimated)). CO/CO₂ offgas streams are significant and could serve as e-fuel carbon feedstock (FT synthesis). Port access available.",no_data
Norgips Norge,Produksjon av gipsprodukter for bygge- og anleggsvirksomhet,Drammen,Buskerud,cement,,,2023,28000,28000,,0.0,reported,,28000,,,,,,59.744,10.204,None,True,4.1,"Norgips Norge is a cement/lime plant in Drammen, emitting ~28 kt/y CO₂ (fossil CO₂). Calcination CO₂ is inherently fossil; alternative fuel co-firing drives any biogenic fraction. Port access available.",public_estimate
Polynt Composites Norway AS avd.produksjon,Produksjon av basisplast,Fredrikstad,Østfold,organic_chem,,,2023,,,,5,estimated,,,,,,,,59.218,10.93,Øra,True,4.1,"Polynt Composites Norway AS avd.produksjon is an organic chemicals/plastics facility in Fredrikstad in the Øra cluster, emitting ~scale unknown CO₂ (5% biogenic (estimated)). Port access available.",no_data
Aludyne Norway,Produksjon av aluminium,Farsund,Agder,aluminium,,,2023,,,,0,estimated,,,,,,,,58.093,6.804,Farsund/Lista,True,4.0,"Aludyne Norway is an aluminium smelter in Farsund in the Farsund/Lista cluster, emitting ~scale unknown CO₂ (fossil CO₂). Process CO₂ is fossil (anode oxidation); enormous power draw creates shared grid infrastructure opportunity. Port access available.",no_data
Fiven Norge avd. Eydehavn,Produksjon av andre uorganiske kjemiske råvarer,Arendal,Agder,inorganic_chem,,,2023,,,,0,estimated,,,,,,,,58.461,8.772,Eydehavn,True,4.0,"Fiven Norge avd. Eydehavn is an inorganic chemicals facility in Arendal in the Eydehavn cluster, emitting ~scale unknown CO₂ (fossil CO₂). Chemical process CO₂ varies by product; existing industrial infrastructure and logistics assessed as port access available.",no_data
Fluorsid Noralf AS,Produksjon av andre uorganiske kjemiske råvarer,Ullensvang,Vestland,inorganic_chem,,,2023,,,,0,estimated,,,,,,,,60.069,6.545,Odda,True,4.0,"Fluorsid Noralf AS is an inorganic chemicals facility in Ullensvang in the Odda cluster, emitting ~scale unknown CO₂ (fossil CO₂). Chemical process CO₂ varies by product; existing industrial infrastructure and logistics assessed as port access available.",no_data
Franzefoss Minerals AS - Miljøkalk,"Bryting av dekorstein, kalkstein, gips, skifer og annen stein",Narvik,Nordland,cement,,,2023,,,,0,estimated,,,,,,,,68.438,17.427,Narvik,True,4.0,"Franzefoss Minerals AS - Miljøkalk is a cement/lime plant in Narvik in the Narvik cluster, emitting ~scale unknown CO₂ (fossil CO₂). Calcination CO₂ is inherently fossil; alternative fuel co-firing drives any biogenic fraction. Port access available.",no_data
Hammerfall Dolomitt,"Bryting av dekorstein, kalkstein, gips, skifer og annen stein",Sørfold,Nordland,cement,,,2023,,,,0,estimated,,,,,,,,67.252,15.402,Sørfold,True,4.0,"Hammerfall Dolomitt is a cement/lime plant in Sørfold in the Sørfold cluster, emitting ~scale unknown CO₂ (fossil CO₂). Calcination CO₂ is inherently fossil; alternative fuel co-firing drives any biogenic fraction. Port access available.",no_data
"Hydro Aluminium, Hydroslug AS",Produksjon av halvfabrikater av aluminium,Høyanger,Vestland,aluminium,,,2023,,,,0,estimated,,,,,,,,61.222,6.079,Høyanger,True,4.0,"Hydro Aluminium, Hydroslug AS is an aluminium smelter in Høyanger in the Høyanger cluster, emitting ~scale unknown CO₂ (fossil CO₂). Process CO₂ is fossil (anode oxidation); enormous power draw creates shared grid infrastructure opportunity. Port access available.",no_data
Mølle- og siloanlegg for Franzefoss Minerals avdeling Eydehavn,"Bryting av kalkstein, gips og kritt",Arendal,Agder,cement,,,2023,,,,0,estimated,,,,,,,,58.461,8.772,Eydehavn,True,4.0,"Mølle- og siloanlegg for Franzefoss Minerals avdeling Eydehavn is a cement/lime plant in Arendal in the Eydehavn cluster, emitting ~scale unknown CO₂ (fossil CO₂). Calcination CO₂ is inherently fossil; alternative fuel co-firing drives any biogenic fraction. Port access available.",no_data
